City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
636,Jalu,LY,76.98,clear sky,29.0331,21.5482,صاحبة الفخامة
643,Cururupu,BR,73.96,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
644,Nola,IT,79.63,clear sky,40.922,14.5329,Palazzo Giordano Bruno
646,Tazmalt,DZ,77.45,clear sky,36.3868,4.3989,Hôtel Numédia
647,Kisaran,ID,72.75,moderate rain,2.9845,99.6158,Penginapan Batubara1
649,Tamandaré,BR,73.54,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
656,Ilebo,CD,73.0,few clouds,-4.3167,20.5833,Hôtel BUMAK
657,Mizdah,LY,72.9,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
662,Pimenta Bueno,BR,79.52,clear sky,-11.6725,-61.1936,Cristalina Palace Hotel
664,Caceres,ES,78.87,overcast clouds,39.522,-6.3748,Ahc Hoteles
666,Conde,BR,72.86,overcast clouds,-7.2597,-34.9075,Pousada Beija Flor
668,Pindiga,NG,71.53,broken clouds,9.9833,10.9333,Accommodation Center
676,Talara,PE,72.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
689,Sechura,PE,70.81,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
693,Nawalapitiya,LK,70.29,overcast clouds,7.0559,80.5348,Binara Villa
