,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Nabire,ID,-3.3667,135.4833,79.59,80,25,1.81,scattered clouds
143,Beringovskiy,RU,63.05,179.3167,50.83,60,28,11.68,scattered clouds
144,Tuatapere,NZ,-46.1333,167.6833,44.46,91,99,2.86,overcast clouds
145,Butaritari,KI,3.0707,172.7902,81.48,73,57,5.41,broken clouds
146,Saint Anthony,US,45.0205,-93.218,87.82,35,0,18.41,clear sky
147,Inongo,CD,-1.95,18.2667,69.71,80,36,3.6,scattered clouds
148,Codrington,AU,-38.2667,141.9667,48.58,83,84,11.77,broken clouds
149,Karratha,AU,-20.7377,116.8463,68.0,82,0,7.76,clear sky
150,Krasnoarmeysk,RU,51.0239,45.6969,57.02,79,3,2.21,clear sky
151,Lüderitz,NA,-26.6481,15.1594,64.18,47,0,4.72,clear sky
152,Kavieng,PG,-2.5744,150.7967,82.18,78,100,11.3,light rain
153,Mayskiy,RU,47.6931,40.1025,63.81,72,18,5.86,few clouds
154,Salalah,OM,17.0151,54.0924,76.57,92,82,8.57,broken clouds
155,Dingle,PH,10.9995,122.6711,79.75,90,97,5.59,overcast clouds
156,Aguachica,CO,8.3084,-73.6166,80.94,82,94,2.28,overcast clouds
157,Flinders,AU,-34.5833,150.8552,55.18,91,92,7.0,light rain
158,Columbus,US,39.9612,-82.9988,88.0,53,40,13.8,scattered clouds
159,George Town,MY,5.4112,100.3354,80.89,93,20,3.44,few clouds
160,Kosonsoy,UZ,41.2561,71.5508,73.96,22,0,7.07,clear sky
161,Carnarvon,AU,-24.8667,113.6333,60.28,76,43,16.31,scattered clouds
162,Fort Nelson,CA,58.8053,-122.7002,65.79,42,75,12.66,broken clouds
163,Akonolinga,CM,3.7667,12.25,66.96,97,100,3.91,overcast clouds
164,Cidreira,BR,-30.1811,-50.2056,62.64,90,93,4.0,overcast clouds
165,Banda Aceh,ID,5.5577,95.3222,80.01,77,100,9.73,overcast clouds
166,Warmbad,NA,-28.45,18.7333,60.03,39,0,10.51,clear sky
167,The Valley,AI,18.217,-63.0578,84.34,70,20,16.11,few clouds
168,Krasnosel'kup,RU,65.7,82.4667,50.63,81,71,3.29,broken clouds
169,Porto Murtinho,BR,-21.6989,-57.8825,78.89,30,27,5.57,scattered clouds
170,Acaraú,BR,-2.8856,-40.12,78.82,78,49,13.78,scattered clouds
171,Pevek,RU,69.7008,170.3133,32.05,100,100,11.07,snow
172,City of San Pedro,PH,14.35,121.0167,83.26,84,40,2.3,scattered clouds
173,Los Llanos de Aridane,ES,28.6585,-17.9182,67.75,83,0,18.41,clear sky
174,Mahébourg,MU,-20.4081,57.7,69.26,88,40,12.66,scattered clouds
175,Ardmore,US,34.1743,-97.1436,95.47,73,0,0.0,clear sky
176,Sioux Lookout,CA,50.1001,-91.917,77.07,44,40,12.66,scattered clouds
177,Bogovarovo,RU,58.9785,47.0246,54.54,94,61,3.15,broken clouds
178,Upernavik,GL,72.7868,-56.1549,45.32,96,100,13.02,overcast clouds
179,Baraboo,US,43.4711,-89.7443,89.01,42,0,13.8,clear sky
180,Bonthe,SL,7.5264,-12.505,76.68,80,97,11.63,overcast clouds
181,Verkhnevilyuysk,RU,63.4453,120.3167,56.55,94,100,5.44,overcast clouds
182,Comodoro Rivadavia,AR,-45.8667,-67.5,39.06,35,0,12.66,clear sky
183,Trelew,AR,-43.249,-65.3051,44.69,49,100,11.36,overcast clouds
184,Arraial do Cabo,BR,-22.9661,-42.0278,69.66,88,0,6.91,clear sky
185,Necochea,AR,-38.5473,-58.7368,44.83,48,91,5.23,overcast clouds
186,Torbay,CA,47.6666,-52.7314,68.77,74,75,9.22,broken clouds
187,Clyde River,CA,70.4692,-68.5914,41.23,93,100,9.22,light rain
188,Kamenka,RU,51.3223,42.7678,57.0,88,100,4.79,overcast clouds
189,Mar del Plata,AR,-38.0023,-57.5575,51.1,67,0,5.75,clear sky
190,Nizhniy Kuranakh,RU,58.8353,125.4869,67.93,80,63,0.63,broken clouds
191,Anadyr,RU,64.75,177.4833,54.1,54,40,15.66,scattered clouds
192,Joshīmath,IN,30.5667,79.5667,70.79,89,100,0.78,overcast clouds
193,Kiryat Gat,IL,31.61,34.7642,77.68,100,2,2.39,clear sky
194,Hasaki,JP,35.7333,140.8333,84.29,85,64,17.07,broken clouds
195,Krapivinskiy,RU,54.9992,86.8133,58.3,98,100,9.42,moderate rain
196,Lavrentiya,RU,65.5833,-171.0,40.53,81,100,20.42,light rain
197,Tambopata,PE,-12.7333,-69.1833,78.12,60,2,2.84,clear sky
198,Netivot,IL,31.4222,34.5886,70.61,82,2,4.09,clear sky
199,Tazovsky,RU,67.4667,78.7,43.47,84,100,4.36,overcast clouds
200,Kavaratti,IN,10.5669,72.642,81.12,77,100,20.67,overcast clouds
201,Ilulissat,GL,69.2167,-51.1,41.77,91,100,6.13,overcast clouds
202,Pasni,PK,25.2631,63.471,82.78,84,99,9.71,light rain
203,West Wendover,US,40.7391,-114.0733,97.81,15,0,11.5,clear sky
204,Constitución,CL,-35.3333,-72.4167,53.17,88,49,10.83,scattered clouds
205,Mâncio Lima,BR,-7.6142,-72.8958,87.87,48,40,0.0,scattered clouds
206,Nantucket,US,41.2835,-70.0995,78.91,94,100,12.66,mist
207,Muhafazat Lahij,YE,13.1667,44.5833,84.45,50,55,6.44,broken clouds
208,Salamiyah,SY,35.0113,37.0532,72.09,69,0,9.78,clear sky
209,Narasannapeta,IN,18.4167,84.05,81.34,81,100,4.92,moderate rain
210,Hannan,JP,34.3217,135.2325,77.88,78,40,3.44,scattered clouds
211,Makkah al Mukarramah,SA,21.4267,39.8261,86.09,54,59,2.44,broken clouds
212,Witney,GB,51.7836,-1.4854,68.2,66,75,10.36,broken clouds
213,Yenagoa,NG,4.9247,6.2642,74.23,89,88,3.62,overcast clouds
214,Zheleznodorozhnyy,RU,55.7503,38.0042,63.21,79,63,9.62,broken clouds
215,Kyabram,AU,-36.3167,145.05,46.87,75,4,9.84,clear sky
216,Coquimbo,CL,-29.9533,-71.3436,55.13,82,100,3.44,overcast clouds
217,Mayo,US,38.8876,-76.5119,91.81,72,75,12.66,broken clouds
218,Norman Wells,CA,65.282,-126.8329,73.44,53,75,3.44,broken clouds
219,Kropotkin,RU,45.4375,40.5756,58.28,69,3,7.07,clear sky
220,Riyadh,SA,24.6877,46.7219,95.14,10,37,9.86,scattered clouds
221,Birao,CF,10.2849,22.7882,70.66,93,98,3.27,overcast clouds
222,Agüimes,ES,27.9054,-15.4461,73.65,69,0,28.77,clear sky
223,Kédougou,SN,12.5579,-12.1743,81.18,83,40,4.61,thunderstorm
224,Talnakh,RU,69.4865,88.3972,54.21,75,16,5.08,few clouds
225,Fortuna,US,40.5982,-124.1573,69.93,73,41,7.0,scattered clouds
226,Souillac,MU,-20.5167,57.5167,68.38,88,40,12.66,scattered clouds
227,Awjilah,LY,29.1081,21.2869,77.95,49,0,14.34,clear sky
228,Vila Franca do Campo,PT,37.7167,-25.4333,73.2,81,69,2.59,broken clouds
229,Ponta do Sol,PT,32.6667,-17.1,71.71,82,3,6.17,clear sky
230,Port Moresby,PG,-9.4431,147.1797,79.32,79,39,1.5,scattered clouds
231,Wanning,CN,18.8003,110.3967,79.95,87,18,1.77,few clouds
232,Marzuq,YE,14.4,46.4667,76.93,61,10,7.61,clear sky
233,Moengo,SR,5.6167,-54.4,74.98,94,40,3.04,scattered clouds
234,Ust-Nera,RU,64.5667,143.2,66.69,62,46,5.59,scattered clouds
235,Bridgetown,BB,13.1,-59.6167,82.89,78,20,20.71,few clouds
236,Kodinsk,RU,58.6881,99.1844,58.42,87,49,2.75,scattered clouds
237,Mannārakkāt,IN,10.9833,76.4667,75.25,99,100,2.84,light rain
238,El Tigre,VE,8.8875,-64.2454,78.85,75,58,10.47,broken clouds
239,Luba,GQ,3.4568,8.5547,73.29,88,98,8.21,light rain
240,Port Hedland,AU,-20.3167,118.5667,60.85,100,0,3.44,clear sky
241,Strezhevoy,RU,60.7333,77.5889,54.7,95,100,5.57,light rain
242,Kupang,ID,-10.1667,123.5833,75.7,77,99,12.57,overcast clouds
243,Iquitos,PE,-3.7481,-73.2472,78.84,83,40,3.44,scattered clouds
244,Kazygurt,KZ,41.7589,69.3864,79.84,16,0,3.89,clear sky
245,Sittwe,MM,20.15,92.9,81.66,83,100,5.14,overcast clouds
246,Cayenne,GF,4.9333,-52.3333,83.08,1,20,3.44,few clouds
247,Oistins,BB,13.0667,-59.5333,82.49,78,20,20.71,few clouds
248,Aklavik,CA,68.2191,-135.0107,66.2,68,75,8.05,broken clouds
249,Santiago del Estero,AR,-27.7951,-64.2615,71.73,57,15,11.63,few clouds
250,Dezful,IR,32.3811,48.4058,95.16,31,0,10.6,clear sky
251,Kuruman,ZA,-27.4524,23.4325,48.99,45,3,4.36,clear sky
252,Portland,US,45.5234,-122.6762,89.26,49,40,6.91,scattered clouds
253,Faanui,PF,-16.4833,-151.75,77.54,72,12,10.6,light rain
254,Montego Bay,JM,18.4712,-77.9188,85.8,84,40,18.41,scattered clouds
255,Muravlenko,RU,63.7898,74.523,49.68,65,84,5.19,broken clouds
256,Nhulunbuy,AU,-12.2333,136.7667,74.01,49,48,9.22,scattered clouds
257,Saskylakh,RU,71.9167,114.0833,50.92,65,100,7.29,overcast clouds
258,Nuevo Progreso,MX,23.1667,-97.95,91.54,60,68,15.82,broken clouds
259,Sisimiut,GL,66.9395,-53.6735,48.02,82,99,9.1,overcast clouds
260,North Bend,US,43.4065,-124.2243,75.24,78,40,12.66,scattered clouds
261,Veseloyarsk,RU,51.2836,81.1056,63.48,82,64,6.46,broken clouds
262,Paoua,CF,7.2427,16.4406,68.7,96,100,1.61,moderate rain
263,Nikolskoye,RU,59.7035,30.7861,65.88,89,0,3.09,clear sky
264,Pisco,PE,-13.7,-76.2167,62.65,77,100,14.97,overcast clouds
265,Province of Mantua,IT,45.1667,10.7833,85.24,63,2,5.01,clear sky
266,Graciano Sánchez,MX,23.9167,-99.2833,96.48,29,46,8.43,scattered clouds
267,Huaidian,CN,33.4333,115.0333,78.96,90,65,8.1,broken clouds
268,Yangi Marg`ilon,UZ,40.4272,71.7189,79.52,38,0,6.91,clear sky
269,Wencheng,CN,33.0559,113.7978,80.06,91,91,5.5,overcast clouds
270,Tasiilaq,GL,65.6145,-37.6368,39.07,78,84,3.15,broken clouds
271,New Castle,US,41.0037,-80.347,87.08,48,20,12.66,few clouds
272,Khromtau,KZ,50.2503,58.4347,63.03,52,97,5.61,overcast clouds
273,Darhan,MN,49.4867,105.9228,55.42,97,100,3.78,overcast clouds
274,Priiskovyy,RU,51.9333,116.6333,70.18,75,51,2.66,broken clouds
275,Arinos,BR,-15.9169,-46.1056,70.03,44,15,2.89,few clouds
276,Diffa,NE,13.3154,12.6113,81.19,60,77,5.91,broken clouds
277,Yulara,AU,-25.2406,130.9889,51.21,39,0,5.01,clear sky
278,Sailāna,IN,23.4667,74.9167,74.48,92,100,11.61,overcast clouds
279,Fairbanks,US,64.8378,-147.7164,66.22,55,75,6.91,broken clouds
280,Luena,AO,-11.7833,19.9167,59.68,44,48,4.43,scattered clouds
281,Santa Isabel Rio Negro,BR,-0.4139,-65.0192,79.56,76,100,1.23,overcast clouds
282,Guerrero Negro,MX,27.9769,-114.0611,77.14,53,5,21.74,clear sky
283,Lagoa,PT,39.05,-27.9833,71.74,89,96,4.27,overcast clouds
284,Bud,US,39.447,-86.1758,89.92,53,0,7.74,clear sky
285,New Delhi,IN,28.6128,77.2311,86.38,84,75,0.0,mist
286,Leningradskiy,RU,69.3833,178.4167,35.96,99,100,8.21,light rain
287,Susanville,US,40.4163,-120.653,96.64,9,0,13.8,clear sky
288,Gunjur,GM,13.2019,-16.7339,77.07,100,75,4.61,thunderstorm with light rain
289,Ambilobe,MG,-13.2,49.05,64.78,74,28,5.14,scattered clouds
290,Makokou,GA,0.5738,12.8642,68.9,93,71,3.29,light rain
291,Ukiah,US,39.1502,-123.2078,101.44,16,0,12.66,clear sky
292,Padang,ID,-0.9492,100.3543,75.25,87,92,4.18,overcast clouds
293,Touros,BR,-5.1989,-35.4608,75.34,84,100,8.5,overcast clouds
294,Zaozyornoye,UA,45.1582,33.2787,71.6,66,0,15.43,clear sky
295,Muli,MV,2.9167,73.5667,82.62,69,98,17.54,overcast clouds
296,Toora-Khem,RU,52.4675,96.11,54.68,58,98,1.86,overcast clouds
297,Ocampo,MX,21.65,-101.5,83.55,17,43,12.08,scattered clouds
298,New Norfolk,AU,-42.7826,147.0587,45.91,82,2,3.06,clear sky
299,Lixouri,GR,38.2019,20.4314,77.45,58,0,4.52,clear sky
300,Muswellbrook,AU,-32.2667,150.9,58.33,79,99,9.75,overcast clouds
301,Lebu,CL,-37.6167,-73.65,50.99,89,99,11.03,light rain
302,Karoi,ZW,-16.8099,29.6925,54.36,73,69,4.45,broken clouds
303,Tigil',RU,57.8,158.6667,71.19,49,12,7.63,few clouds
304,Pendleton,US,45.6721,-118.7886,99.61,22,1,11.99,clear sky
305,Mount Isa,AU,-20.7333,139.5,47.97,46,0,6.91,clear sky
306,Dwārka,IN,22.2394,68.9678,82.54,81,100,18.95,overcast clouds
307,Lázaro Cárdenas,MX,17.9583,-102.2,87.01,68,41,7.45,scattered clouds
308,Iqaluit,CA,63.7506,-68.5145,42.53,93,40,4.61,fog
309,Gabú,GW,12.2833,-14.2167,74.26,96,100,7.81,moderate rain
310,Walvis Bay,NA,-22.9575,14.5053,56.35,67,0,1.14,clear sky
311,Batagay,RU,67.6333,134.6333,63.55,56,90,3.04,overcast clouds
312,Kushima,JP,31.4583,131.2333,81.01,74,81,10.27,broken clouds
313,Andenes,NO,69.3143,16.1194,53.58,87,100,5.75,light rain
314,Kinablangan,PH,7.6947,126.5503,80.04,81,52,3.44,moderate rain
315,Bambanglipuro,ID,-7.95,110.2833,75.2,84,100,8.95,overcast clouds
316,Mizque,BO,-17.941,-65.3402,64.47,40,97,5.19,overcast clouds
317,Kruisfontein,ZA,-34.0033,24.7314,49.44,87,37,5.48,scattered clouds
318,Southbridge,US,42.0751,-72.0334,87.04,96,82,6.04,broken clouds
319,Kedrovyy,RU,56.1667,91.8167,54.01,87,68,4.16,broken clouds
320,Shīeli,KZ,44.1667,66.75,88.36,23,0,10.07,clear sky
